GE4_Rank,Name,Name_Band,GE4_token,GE4_Transaction,GE4_Wallet,GE4_Prelim1,GE4_Token_Prelim1,GE4_Prelim2,Band,Gen,Band_Gen,Full_Name_TH,Team_Position,Team,Age,GE1_Rank,GE2_Rank,GE3_Rank,GE3_Position,GE3_Prelim1,GE3_Token_Prelim1,GE3_Prelim2,GE3_Token,GE3_Transactions,GE3_Wallet,GE3_Token/Transaction,GE3_Center,Request_Hour,Game_Caster,Theater_Stage,iAM48_Kami,iAM48_Oshi,iAM48_Cookies,iAM48_Likes,Setbatsu_Total,Center_Main_Total,GE4_Position
11,Stang,Stang_BNK48,29787.779,506,266,1,11375.59,3,BNK48,2,BNK48_2,ตริษา ปรีชาตั้งกิจ,,NV,20,,19,20,Under Girls,23,1438.45,31,11785.22,884,282,13.33,FALSE,4,0,155,962,33774,27532060,158481,3,0,Senbatsu
12,Kaiwan,Kaiwan_CGM48,28193.9,260,169,20,1540.3,31,CGM48,1,CGM48_1,มานิตา จันทร์ฉาย,Vice Captain Team,C,19,,46,31,Under Girls,24,1219.17,21,6487.48,633,159,10.25,FALSE,3,23,0,682,18048,26776392,131279,7,0,Senbatsu
13,Monet,Monet_BNK48,27977.723,464,289,15,2326.12,17,BNK48,3,BNK48_3,ภาริตา ริเริ่มกุล,,BIII,15,,,55,Unranked,48,360.16,,2115.25,729,233,2.9,FALSE,2,4,51,659,12044,8646814,70318,2,0,Senbatsu
14,Hoop,Hoop_BNK48,27041.011,797,434,11,2835.86,7,BNK48,3,BNK48_3,ปาฏลี ประเสริฐธีระชัย,Captain Team,BIII,21,,,17,Under Girls,16,2295.36,18,15384.97,1292,395,11.9,TRUE,0,8,52,856,16786,14695234,115769,4,1,Senbatsu
15,Grace,Grace_BNK48,26962.29,301,147,10,2847.59,9,BNK48,3,BNK48_3,วิรัลพัชร ธำรงค์พันธวนิช,,BIII,20,,,35,Next Girls,39,564.63,,5574.87,446,108,12.5,FALSE,3,17,40,207,9101,8181315,69687,0,0,Senbatsu
16,Nenie,Nenie_CGM48,26590.43,393,267,8,2925.62,15,CGM48,1,CGM48_1,พิชญาภา สุปัญญา,,C,21,,,44,Next Girls,40,529.99,42,3647.35,819,255,4.45,FALSE,2,8,0,1318,22370,14000426,152258,8,1,Senbatsu
17,Lookked,Lookked_CGM48,24050.537,356,245,13,2456.06,19,CGM48,2,CGM48_2,พิมพ์ลภัส สุวรรณน้อย,,C,23,,,,,,,,,,,,FALSE,0,0,0,138,3632,4100879,16946,3,0,Under Girls
18,Popper,Popper_BNK48,23125.451,424,253,17,1944.01,20,BNK48,3,BNK48_3,พิณญาดา จึงกาญจนา,Vice Captain Team,NV,25,,,29,Under Girls,37,642.37,47,6983.23,1113,395,6.27,FALSE,4,15,57,295,9202,13243344,69625,2,0,Under Girls
19,L,L_BNK48,22964.155,373,231,37,842.49,44,BNK48,4,BNK48_4,สิริกร นิลกษาปน์,,Trainee,20,,,,,,,,,,,,FALSE,0,0,0,883,5934,6149749,42431,3,0,Under Girls
20,Fortune,Fortune_CGM48,22858.316,611,344,18,1919.21,12,CGM48,1,CGM48_1,ปัณฑิตา คูณทวี,Captain Team,C,24,,37,22,Under Girls,25,1039.64,26,9877.98,1309,409,7.55,FALSE,4,6,0,2453,34501,21090420,217350,9,1,Under Girls
21,Jaokhem,Jaokhem_BNK48,21869.42,252,129,,,16,BNK48,3,BNK48_3,ชนิกานต์ บุษดี,,NV,20,,,49,Unranked,,,32,3027.69,333,76,9.09,FALSE,2,1,18,216,7639,3214694,58540,0,0,Under Girls
22,Yoghurt,Yoghurt_BNK48,19264.024,579,296,16,2090.88,10,BNK48,3,BNK48_3,นพรดา เลิศวิริยะพร,,NV,19,,,38,Next Girls,31,891.34,35,4868.21,910,306,5.35,FALSE,3,20,40,378,8930,11967758,61421,2,0,Under Girls
23,Nana,Nana_CGM48,16277.759,825,410,22,1399.8,11,CGM48,2,CGM48_2,เพ็ญพิชญา บุญเสนอ,,Trainee,20,,,,,,,,,,,,FALSE,0,0,0,277,4846,2778894,19619,4,0,Under Girls
24,Fame,Fame_BNK48,15760.801,412,245,27,1109.08,26,BNK48,3,BNK48_3,นันทภัค กิตติรัตนวิวัฒน์,,BIII,19,,,32,Under Girls,35,752.2,25,6097.64,1130,368,5.4,FALSE,3,0,61,561,14927,8696777,87357,3,0,Under Girls
25,Kaofrang,Kaofrang_BNK48,15277.52,317,158,34,925.23,36,BNK48,3,BNK48_3,ญาณิศา เมืองคำ,,NV,21,,,54,Unranked,,,,2449.84,439,105,5.58,FALSE,3,14,52,109,6072,6952810,47660,0,0,Under Girls
26,Aom,Aom_CGM48,12838.7814,498,267,19,1742.59,22,CGM48,1,CGM48_1,ปุณยวีร์ จึงเจริญ,Captain CGM48,C,28,,25,16,Senbatsu,11,4420.14,9,16431.19,1264,391,13,FALSE,4,0,0,1567,53869,24636725,187029,11,1,Under Girls
27,Angel,Angel_CGM48,12179.68,281,173,29,1020.15,45,CGM48,1,CGM48_1,นภัสนันท์ ธรรมบัวชา,,C,21,,,37,Next Girls,20,1533.4,23,5008.46,769,184,6.51,FALSE,2,8,0,848,24509,5826760,131462,8,1,Under Girls
28,Khamin,Khamin_BNK48,11060.567,367,202,26,1167.2,46,BNK48,2,BNK48_2,มณิภา รู้ปัญญา,,NV,24,22,35,,,,,,,,,,FALSE,1,1,47,1016,29954,8050519,84740,0,0,Under Girls
29,New,New_BNK48,10998.407,384,226,23,1317.47,23,BNK48,2,BNK48_2,ชัญญาภัค นุ่มประสพ,,NV,20,,28,21,Under Girls,19,1912.03,19,10789.39,934,286,11.55,FALSE,4,0,98,3229,49003,14191030,139412,4,0,Under Girls
30,Jingjing,Jingjing_CGM48,8827.397,303,217,40,665.18,47,CGM48,2,CGM48_2,พิมพ์ลภัส สุวรรณน้อย,,C,21,,,,,,,,,,,,FALSE,0,0,0,156,3984,1120439,13396,3,0,Under Girls
31,Mei,Mei_CGM48,8668.215,371,209,38,731.01,27,CGM48,1,CGM48_1,รพีพรรณ แช่มเจริญ,,Trainee,19,,,33,Next Girls,43,457.82,40,5765.03,684,214,8.43,TRUE,2,22,0,640,15466,12470715,127895,6,0,Under Girls
32,Peak,Peak_BNK48,8506.733,304,180,21,1441.98,35,BNK48,3,BNK48_3,ภูษิตา วัฒนากรแก้ว,,BIII,19,,,57,Unranked,,,,1801.33,558,161,3.23,FALSE,2,10,66,531,10867,15311254,64428,1,0,Under Girls
33,Panda,Panda_BNK48,8379.84,363,226,32,949.13,30,BNK48,2,BNK48_2,จิดาภา แช่มช้อย,,BIII,26,,34,51,Unranked,36,657.45,44,2722.52,523,178,5.21,FALSE,3,19,160,1506,33329,13002216,113452,0,0,Next Girls
34,Jjae,Jjae_CGM48,8155.65,203,165,,,42,CGM48,1,CGM48_1,ศุภาพิชญ์ ศรีไพโรจน์,,Trainee,17,,,,,,,,,,,,FALSE,1,18,0,243,10263,5638018,61750,1,0,Next Girls
35,Marine,Marine_BNK48,7973.5,414,257,,,39,BNK48,4,BNK48_4,กชพร พรโชคชัย,,Trainee,17,,,,,,,,,,,,FALSE,0,0,0,587,6371,3556072,32194,2,0,Next Girls
36,Meen,Meen_CGM48,7524.22,365,216,33,934.47,40,CGM48,1,CGM48_1,พิชญธิดา สนธิศักดิ์วรรณะ,,Trainee,20,,,58,,,,,,,,,FALSE,2,10,0,907,20160,7248810,178700,4,0,Next Girls
37,Janry,Janry_BNK48,7240.463,399,252,47,366.26,28,BNK48,4,BNK48_4,กัลยารัตน์ ปั้นพิพัฒน์,,Trainee,15,,,,,,,,,,,,FALSE,0,0,0,306,5473,2026194,29702,3,0,Next Girls
38,Izurina,Izurina_CGM48,7122.2,402,261,24,1312.97,34,CGM48,1,CGM48_1,รินะ อิซึตะ,Shihainin CGM48,C,28,21,30,27,Under Girls,47,383.38,37,7392.29,1042,399,7.09,FALSE,5,13,0,1586,33307,13742317,93677,6,0,Next Girls
39,Earn,Earn_BNK48,7115.49,390,194,39,676.57,32,BNK48,3,BNK48_3,วชิราพร พัฒนพานิช,,BIII,25,,,28,Under Girls,30,920.65,30,7365.14,681,197,10.82,FALSE,4,0,55,409,9971,10601074,73762,1,0,Next Girls
40,Ping,Ping_CGM48,6670.5,335,191,30,970.23,43,CGM48,1,CGM48_1,พิณพณา แสงบุญ,,C,20,,,45,Next Girls,41,527.42,48,3608.23,696,230,5.18,FALSE,3,13,0,466,11435,9817299,67140,5,0,Next Girls
41,Nine,Nine_BNK48,6087.9688,293,207,44,437.73,,BNK48,2,BNK48_2,ภัทรนรินทร์ เหมือนฤทธิ์,Captain Team,NV,23,,48,39,Next Girls,,,,4839.99,474,135,10.21,FALSE,4,22,174,367,25127,8565664,88450,0,0,Next Girls
42,Nena,Nena_CGM48,5974.46,274,167,,,,CGM48,1,CGM48_1,ณัฐริกา บุญตั๋ว,,Trainee,23,,,52,Unranked,,,,2577.96,445,107,5.79,FALSE,2,16,0,153,9487,8769256,66296,4,0,Next Girls
43,Fahsai,Fahsai_CGM48,5969.8379,193,128,45,385.79,48,CGM48,1,CGM48_1,ภัทรธิดา จงประสานเกียรติ,,Trainee,16,,,61,Unranked,,,,300.01,247,39,1.21,FALSE,2,13,0,72,6979,4265744,35474,1,0,Next Girls
44,Emmy,Emmy_BNK48,5851.628,368,198,25,1275.5,29,BNK48,4,BNK48_4,อรณิชชา พรหมสุภา,,Trainee,16,,,,,,,,,,,,FALSE,0,0,0,177,4148,2245875,22774,0,0,Next Girls
45,Latin,Latin_CGM48,5697.39,210,155,,,,CGM48,1,CGM48_1,พิมพ์นารา ร่ำรวยมั่นคง,,Trainee,17,,,59,Unranked,,,,1059.93,406,92,2.61,FALSE,2,12,0,260,11741,8820423,81482,1,0,Next Girls
46,Mean,Mean_BNK48,5683.01,190,123,36,864.11,33,BNK48,3,BNK48_3,ณัฐธันยา ดุลยพล,,BIII,16,,,46,Next Girls,42,466.84,,3319.3,450,123,7.38,FALSE,3,5,70,251,7716,5255893,47167,1,0,Next Girls
47,Satchan,Satchan_BNK48,5554.145,375,238,48,352.64,41,BNK48,1,BNK48_1,สวิชญา ขจรรุ่งศิลป์,,NV,20,17,18,,,,,,,,,,FALSE,4,5,161,3975,48254,11488947,140696,6,0,Next Girls
48,Palmmy,Palmmy_BNK48,5386.841,264,191,46,372.82,,BNK48,4,BNK48_4,ปุญญิสา แก้วสว่าง,,Trainee,20,,,,,,,,,,,,FALSE,0,0,0,250,4831,1967885,28102,0,0,Next Girls
49,Myyu,Myyu_BNK48,5330.054,318,217,31,953.7,24,BNK48,2,BNK48_2,กวิสรา สิงห์ปลอด,,BIII,24,,45,42,Next Girls,32,884.73,33,3919.64,673,167,5.82,FALSE,4,8,121,1295,46088,12376511,182027,2,0,Unranked
50,Ratah,Ratah_BNK48,5125.108,355,184,,,38,BNK48,2,BNK48_2,รตา ชินกระจ่างกิจ,,NV,21,,31,41,Next Girls,22,1446.07,34,4570.38,597,214,7.66,FALSE,3,10,86,4421,62611,9497270,273692,1,0,Unranked
51,Micha,Micha_BNK48,5084.0113,260,157,35,865.32,25,BNK48,4,BNK48_4,ณัฐรินีย์ กุศลพัฒน์,,Trainee,16,,,,,,,,,,,,FALSE,0,0,0,448,5600,5236249,59937,0,0,Unranked
52,Nene,Nene_BNK48,4958.073,340,219,,,,BNK48,4,BNK48_4,ธนิดา อัครวุฒิ,,Trainee,22,,,,,,,,,,,,FALSE,0,0,0,348,5619,4265092,48615,1,0,Unranked
53,Milk,Milk_CGM48,4613.655,161,122,42,518.83,,CGM48,1,CGM48_1,ชยานันท์ เจ็ดพี่น้องร่วมใจ,,Trainee,18,,,,,,,,,,,,FALSE,2,12,0,521,14193,2640064,62794,5,0,Unranked
54,Kyla,Kyla_CGM48,3662.375,186,132,,,,CGM48,1,CGM48_1,เคียล่า ซือหยุน คู,,C,16,,,,,,,,,,,,FALSE,1,10,0,138,8086,4633144,50358,3,0,Unranked
55,Patt,Patt_BNK48,3046.002,233,140,43,461.64,37,BNK48,4,BNK48_4,ภัทรา ธีระวาส,,Trainee,15,,,,,,,,,,,,FALSE,0,0,0,269,4886,3003373,33828,2,0,Unranked
56,Earth,Earth_BNK48,2243.56,138,110,,,,BNK48,3,BNK48_3,นภสรณ์ ศิริปาณี,,NV,21,,,48,Next Girls,46,393.78,46,3108.14,711,234,4.37,FALSE,2,17,46,170,7743,9506269,58392,0,0,Unranked
57,Yayee,Yayee_BNK48,1939.96,197,133,,,,BNK48,3,BNK48_3,ณัฏฐธิดา อาสนานิ,,BIII,22,,,62,Unranked,,,,298.71,329,76,0.91,FALSE,3,4,51,92,5394,2967115,34853,1,0,Unranked
58,Sindy,Sindy_BNK48,1471.441,190,145,,,,BNK48,4,BNK48_4,กฤตชญา อุดมบุญดี,,Trainee,14,,,,,,,,,,,,FALSE,0,0,0,525,5649,4663083,43201,0,0,Unranked
59,Eve,Eve_BNK48,1181.3765,144,108,41,655.03,,BNK48,3,BNK48_3,อิสรีย์ ทวีกุลพาณิชย์,,NV,20,,,60,Unranked,,,,802.73,378,99,2.12,FALSE,2,22,66,90,5258,2733443,27027,0,0,Unranked
60,Berry,Berry_BNK48,920.9499,139,104,,,,BNK48,4,BNK48_4,จิรภิญญา จันทวรรณกูร,,Trainee,18,,,,,,,,,,,,FALSE,0,0,0,83,2901,1945863,16496,0,0,Unranked
61,Wawa,Wawa_BNK48,669.765,136,112,,,,BNK48,4,BNK48_4,พิมพ์นเรศ ลำใย,,Trainee,14,,,,,,,,,,,,FALSE,0,0,0,126,2870,592968,25511,0,0,Unranked
62,Papang,Papang_CGM48,494.785,215,158,,,,CGM48,2,CGM48_2,ศุภัชญา คำเงิน,,Trainee,16,,,,,,,,,,,,FALSE,0,0,0,149,3385,1436223,10568,0,0,Unranked
63,Emma,Emma_CGM48,275.671,182,147,,,,CGM48,2,CGM48_2,ศศิชา วงศ์วัฒนอนันต์,,Trainee,19,,,,,,,,,,,,FALSE,0,0,0,62,2421,581191,11824,0,0,Unranked
64,Ginna,Ginna_CGM48,209.76,127,107,,,,CGM48,2,CGM48_2,มัญชุภา มูลกลาง,,Trainee,17,,,,,,,,,,,,FALSE,0,0,0,34,1898,509091,7869,0,0,Unranked
